---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|DATE_TIME        |WEEK   |DAY|DATE_     |TIME    |HOUR|EVENT                             |WAITED_SECONDS|WAITED_MINUTES|WAITED_HOURS|ACTIVE_SESSIONS|WAITS  |AVG_MS    |INST_ID|OBJECT_NAMES                                                                                                                                               |
|2019-05-09  11 ->|2019-19|Thu|2019-05-09|11:00:00|11  |log file sync                     |         9.665|           161|2.68        |2.67           |77523  |124.67    |      1|/BIC/B0001847000,2882832,20%;/BIC/AZFIGLD2000~0,2298224,16%;/BIC/AZFIGLD2000,2189584,15%;/BIC/AZFIGLD2040,1536240,11%;/BIC/AZFIGLA0100,1529184,11%         |
|2019-05-09  11 ->|2019-19|Thu|2019-05-09|11:00:00|11  |CPU                               |         6.839|           114|1.9         |1.89           |       |          |      1|/BIC/FZRTABR90,6868736,10%;/BIC/B0001847000,5916624,8%;/BIC/AZFIGLD2000~0,5234240,7%                                                                       |
|2019-05-09  11 ->|2019-19|Thu|2019-05-09|11:00:00|11  |db file sequential read           |         5.042|            84|1.4         |1.39           |574298 |8.78      |      1|/BIC/FZRTABR90,6868654,19%;/BIC/FZRTABR90,3521054,10%;/BIC/FZRTABR90,2151916,6%;/BIC/FZRTABR02,2087008,6%                                                  |
|2019-05-09  11 ->|2019-19|Thu|2019-05-09|11:00:00|11  |OTHER                             |         4.794|            80|1.33        |1.33           |       |          |      1|                                                                                                                                                           |
|2019-05-09  11 ->|2019-19|Thu|2019-05-09|11:00:00|11  |log buffer space                  |         4.443|            74|1.23        |1.23           |8690   |511.32    |      1|                                                                                                                                                           |
|2019-05-09  10 ->|2019-19|Thu|2019-05-09|10:00:00|10  |direct path read                  |        25.664|           428|7.13        |7.1            |661993 |38.77     |      1|/BIC/FZRTABR90,6868654,22%;/BIC/FZRTABR90,3521180,11%;/BIC/FZRTABR90,2151916,7%;/BIC/FZRTABR02,2087008,7%                                                  |
|2019-05-09  10 ->|2019-19|Thu|2019-05-09|10:00:00|10  |CPU                               |         6.135|           102|1.7         |1.7            |       |          |      1|/BIC/FZRTABR90,6868896,10%;/BI0/E0FIGL_C10,4948816,8%;/BIC/FZRTABR90,3521456,5%                                                                            |
|2019-05-09  10 ->|2019-19|Thu|2019-05-09|10:00:00|10  |log file sync                     |         5.423|            90|1.51        |1.5            |122276 |44.35     |      1|/BIC/B0000208000,1684656,26%;I_OBJ1,1400288,21%;/BIC/B0000208000~0,911568,14%;SEG$,558592,9%;/BIC/FZCOCC302~080,470160,7%                                  |
|2019-05-09  10 ->|2019-19|Thu|2019-05-09|10:00:00|10  |db file sequential read           |         5.211|            87|1.45        |1.44           |836394 |6.23      |      1|/BIC/FZRTABR90,6868654,22%;/BIC/FZRTABR90,3521180,11%;/BIC/FZRTABR90,2151916,7%;/BIC/FZRTABR02,2087008,7%                                                  |
|2019-05-09  10 ->|2019-19|Thu|2019-05-09|10:00:00|10  |OTHER                             |         4.609|            77|1.28        |1.27           |       |          |      1|                                                                                                                                                           |
|2019-05-09  10 ->|2019-19|Thu|2019-05-09|10:00:00|10  |log buffer space                  |         3.424|            57|.95         |.95            |7015   |488.14    |      1|                                                                                                                                                           |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |direct path read                  |         9.349|           156|2.6         |2.59           |245194 |38.13     |      1|/BIC/FZRTABR90,3434201,26%;/BIC/FZRTABR90,1760464,13%;/BIC/FZRTABR90,1075958,8%;/BIC/FZRTABR90,699920,5%;/BIC/FZRTABR90,697892,5%                          |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |CPU                               |         3.719|            62|1.03        |1.03           |       |          |      1|/BIC/DZRTABR90B~01,4542784,8%;NRIV,3703248,7%;/BIC/FZRTABR90,3434480,6%;NRIV~0,3332064,6%                                                                  |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |log file sync                     |         3.034|            51|.84         |.84            |602058 |5.04      |      1|NRIV,2096768,23%;/BIC/DZRTABR90B~01,612048,7%;/BIC/DZRTABR90B~04,586000,6%;/BIC/DZRTABR90B~08,583280,6%;/BIC/DZRTABR90B~06,581968,6%                       |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |enq: TX - row lock contention     |         2.576|            43|.72         |.71            |925145 |2.78      |      1|NRIV,923318,100%                                                                                                                                           |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |NETWORK                           |         1.546|            26|.43         |.43            |3865137|.4        |      1|                                                                                                                                                           |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |log buffer space                  |         1.529|            25|.42         |.42            |3062   |499.51    |      1|                                                                                                                                                           |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |db file sequential read           |         1.351|            23|.38         |.37            |3045745|.44       |      1|/BIC/FZRTABR90,3434328,26%;/BIC/FZRTABR90,1760593,13%;/BIC/FZRTABR90,1075831,8%;/BIC/FZRTABR90,699926,5%;/BIC/FZRTABR90,697894,5%                          |
|2019-05-09  09 ->|2019-19|Thu|2019-05-09|09:00:00|09  |OTHER                             |         1.056|            18|.29         |.29            |       |          |      1|                                                                                                                                                           |
|2019-05-09  08 ->|2019-19|Thu|2019-05-09|08:00:00|08  |enq: TX - row lock contention     |         6.278|           105|1.74        |1.77           |2124905|2.95      |      1|NRIV,2124899,100%                                                                                                                                          |
|2019-05-09  08 ->|2019-19|Thu|2019-05-09|08:00:00|08  |log file sync                     |         3.923|            65|1.09        |1.1            |983046 |3.99      |      1|NRIV,3612912,21%;/BIC/DZRTABR90B~01,1065376,6%;/BIC/DZRTABR90B~07,1017472,6%;/BIC/DZRTABR90B~09,1016256,6%;/BIC/DZRTABR90B~02,1015680,6%                   |
|2019-05-09  08 ->|2019-19|Thu|2019-05-09|08:00:00|08  |NETWORK                           |         2.432|            41|.68         |.68            |6079556|.4        |      1|                                                                                                                                                           |
|2019-05-09  08 ->|2019-19|Thu|2019-05-09|08:00:00|08  |CPU                               |         1.583|            26|.44         |.45            |       |          |      1|/BIC/DZRTABR90B~01,7986208,11%;NRIV,7035952,10%;NRIV~0,5857552,8%;/BIC/DZRTABR90B~07,3957024,5%;/BIC/DZRTABR90B~02,3943072,5%                              |
|2019-05-09  08 ->|2019-19|Thu|2019-05-09|08:00:00|08  |OTHER                             |           129|             2|.04         |.04            |       |          |      1|                                                                                                                                                           |
|2019-05-09  07 ->|2019-19|Thu|2019-05-09|07:00:00|07  |direct path read                  |         3.867|            64|1.07        |1.07           |86463  |44.73     |      1|/BIC/FZRTABR02,1043378,69%;/BIC/AZRTABW0140,316155,21%;/BIC/FZRTABR03,162228,11%                                                                           |
|2019-05-09  07 ->|2019-19|Thu|2019-05-09|07:00:00|07  |log file sync                     |         3.019|            50|.84         |.84            |453292 |6.66      |      1|/BIC/B0001904000,1644336,10%;/BIC/AZRTABA0100,1643824,10%;/BIC/AZRTABW0100~0,1626576,10%;NRIV,1377936,8%;/BIC/B0001906000,938016,6%                        |
|2019-05-09  07 ->|2019-19|Thu|2019-05-09|07:00:00|07  |NETWORK                           |         1.619|            27|.45         |.45            |4047987|.4        |      1|                                                                                                                                                           |
